emb,std,nan,intra,inter,sep
512D,1.004934549331665,False,0.8609298467636108,0.8609523177146912,-2.2470951080322266e-05
128D,0.08830217272043228,False,0.44512954354286194,0.4457504451274872,-0.0006209015846252441
CosFace,0.08777154982089996,False,0.8367719054222107,0.8368574976921082,-8.559226989746094e-05
