emb,probe,acc_window,acc_burst,chance
512D,logreg,0.2391304347826087,0.2826086956521739,0.14285714285714285
512D,mlp,0.24728260869565216,0.43478260869565216,0.14285714285714285
128D,logreg,0.19904891304347827,0.15217391304347827,0.14285714285714285
128D,mlp,0.15964673913043478,0.15217391304347827,0.14285714285714285
CosFace,logreg,0.23029891304347827,0.1956521739130435,0.14285714285714285
CosFace,mlp,0.21807065217391305,0.21739130434782608,0.14285714285714285
