step,loss,intra,inter,gap,rx_gap,lr,tau
1,5.5402,0.9899,0.9888,0.0011,0.0011,1e-06,0.3
250,5.2758,0.854,0.5325,0.3214,0.0296,0.00025,0.3
500,4.6176,0.8021,0.0924,0.7097,0.0481,0.0005,0.3
750,4.1381,0.786,0.0147,0.7713,0.051,0.0004962,0.3
1000,4.1637,0.7849,0.0238,0.7611,0.0437,0.000485,0.3
1250,4.078,0.7935,0.0057,0.7877,0.0605,0.0004666,0.3
1500,4.1525,0.8096,0.0164,0.7931,0.0528,0.0004416,0.3
1750,4.0833,0.7924,0.0192,0.7732,0.055,0.0004108,0.3
2000,4.0213,0.8042,-0.005,0.8092,0.049,0.0003752,0.3
2250,3.9933,0.7868,0.003,0.7839,0.0575,0.0003357,0.3
2500,3.9261,0.7925,-0.0011,0.7936,0.0655,0.0002936,0.3
2750,3.8822,0.78,-0.01,0.79,0.0648,0.0002502,0.3
3000,4.0198,0.7998,-0.0062,0.806,0.0613,0.0002068,0.3
3250,4.0119,0.783,-0.0319,0.8149,0.0501,0.0001647,0.3
3500,3.9468,0.8037,-0.0045,0.8082,0.0512,0.0001252,0.3
3750,3.9051,0.7986,0.0006,0.798,0.0623,8.94e-05,0.3
4000,3.8882,0.8046,-0.0074,0.812,0.058,5.86e-05,0.3
4250,3.7875,0.7953,-0.0187,0.8139,0.0611,3.36e-05,0.3
4500,3.8196,0.7996,-0.0106,0.8101,0.0567,1.51e-05,0.3
4750,3.778,0.7993,-0.0103,0.8097,0.0594,3.8e-06,0.3
5000,3.9261,0.7996,-0.0123,0.8119,0.06,0.0,0.3
