opt,emb,std,nan,intra,inter,sep
A,512,1.0034408569335938,False,0.6577704548835754,0.6106967329978943,0.04707372188568115
A,128,0.08802907913923264,False,0.46270951628685,0.3971462547779083,0.06556326150894165
A,COS,0.08838629722595215,False,0.5768958926200867,0.5209067463874817,0.05598914623260498
B,512,1.003650426864624,False,0.7006730437278748,0.6243608593940735,0.07631218433380127
B,128,0.08817276358604431,False,0.4795752763748169,0.409163236618042,0.0704120397567749
B,COS,0.08837903290987015,False,0.6796713471412659,0.6012755036354065,0.07839584350585938
