slice_type,n_slices,K,hdb_ARI,hdb_K,hdb_noise,oracleK_kmeans,oracleK_spectral,knn1,cos_gap,n_bursts,chance
same_board_20,5,8,0.812996476191984,8.0,0.020416666666666666,0.8953784936503473,0.49952148839572275,0.9966666666666667,0.49010883569717406,960.0,0.125
mixed_board,5,8,0.7688181344746375,7.0,0.04145833333333333,0.8066706567801247,0.5450673097372473,0.9922916666666666,0.5102099657058716,960.0,0.125
