step,loss,lr,knn1,gap6,vgap,composite
500,3.5666,0.000417,0.8171,0.1564,0.2076,1.181
1000,3.4028,0.000493,0.8426,0.2484,0.3489,1.4399
1500,3.5501,0.000467,0.8618,0.2759,0.413,1.5507
2000,3.5015,0.000422,0.8718,0.2745,0.3762,1.5225
2500,3.2025,0.000362,0.8736,0.2581,0.4029,1.5346
3000,3.3365,0.000293,0.8751,0.2795,0.3838,1.5383
3500,3.2666,0.000221,0.8721,0.2961,0.3881,1.5563
4000,3.3092,0.000151,0.874,0.2829,0.3739,1.5308
4500,3.1748,8.9e-05,0.8862,0.2628,0.3684,1.5173
5000,3.1585,4.1e-05,0.8954,0.2683,0.3626,1.5264
5500,3.1055,1.1e-05,0.8936,0.2637,0.3615,1.5188
6000,3.2262,0.0,0.8906,0.266,0.3618,1.5185
