step,loss,val_gap,lr
500,3.905803680419922,0.1323731541633606,4.9326121764495596e-05
1000,3.8644144535064697,0.1281203031539917,4.215604094671835e-05
1500,3.755103349685669,0.12707507610321045,2.9341204441673266e-05
2000,3.758700132369995,0.12357187271118164,1.509800584902108e-05
2500,3.7854061126708984,0.12034451961517334,4.112804714676594e-06
3000,3.713439702987671,0.12168484926223755,0.0
