protocol,deployable,ARI_128D_mean,ARI_128D_std,ARI_CosFace_mean,ARI_CosFace_std,noise_128D,noise_CosFace,K_range_128D,K_range_CosFace
P0,yes,0.5579717010411256,0.040441000877406666,0.3680729160190655,0.02213207603658375,0.16189814814814815,0.436574074074074,14-19,31-61
P1,yes,0.6301620494514844,0.02926864364339231,0.7722957956758612,0.03670656952110712,0.13078703703703703,0.0076388888888888895,17-27,14-17
P2,semi,0.567387288574401,0.048029651265724,0.21081587751264708,0.030988846641355833,0.16791666666666666,0.13253086419753088,19-34,119-189
P3,no,0.6988165123233682,0.055168478352855696,0.7648292975913525,0.03407644579897961,0.12566358024691357,0.005308641975308642,15-21,13-14
